event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",19c8092496e94b85,catch weight,0,Decision - Split,3,300,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",3ded9bfdfb75f39b,featherweight,0,Submission,1,270,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",c0d8a231d2f1d1af,light heavyweight,0,Decision - Split,3,300,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",08763e87e10b9709,light heavyweight,0,Submission,1,171,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",b6475543ab6d20c9,light heavyweight,0,KO/TKO,1,132,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",e9dfc2f009a77a8d,middleweight,0,KO/TKO,2,33,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",bc6d70ab959dce70,bantamweight,0,KO/TKO,1,238,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",e011819e721c4a2a,middleweight,0,KO/TKO,2,204,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",f5386c98fea7f5d4,middleweight,0,KO/TKO,1,95,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",875b249ebe45a66b,middleweight,0,Decision - Unanimous,3,300,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",68913a422f548ccc,featherweight,0,Decision - Unanimous,3,300,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",365e2d891b98b86d,middleweight,0,KO/TKO,4,21,5.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",ce1436a9b58902a7,lightweight,0,TKO - Doctor's Stoppage,1,300,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",2a493f15e079a7ff,featherweight,0,KO/TKO,1,178,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",f4817d5cbe9be532,women's strawweight,0,Decision - Split,3,300,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",615f7f894bafad82,catch weight,0,KO/TKO,2,253,3.0
