id,name,nick_name,wins,losses,draws,height,weight,reach,stance
064b7dc68d786254,Cain Carrizosa,The Insane,10,3,0,172.72,70.31,,Orthodox
fb79582c410d049e,Wagner Silva,Wagnao,6,3,0,182.88,77.11,,Orthodox
4498b382c65a7faa,Roxanne Modafferi,The Happy Warrior,25,21,0,170.18,56.7,175.26,Orthodox
89839250eb25c9c1,Caio Machado,Bigfoot,8,4,1,193.04,113.4,198.12,Southpaw
cd12227edd3f134b,Keith Wisniewski,The Polish Connection,28,15,1,182.88,77.11,,Orthodox
56116a79e4deed06,Claude Patrick,The Prince,14,2,0,180.34,77.11,190.5,Orthodox
8377c5572cb356f3,Fabio Gurgel,,3,2,0,182.88,92.99,,Orthodox
5095b0920a3602aa,Blake Bilder,El Animal,8,2,1,172.72,65.77,172.72,Switch
bf0e700106d00e55,Austin Arnett,,16,6,0,182.88,65.77,182.88,Orthodox
583ee11abddfc581,Nate Landwehr,The Train,18,7,0,175.26,65.77,182.88,Orthodox
184b955181bdef52,Wes Albritton,,0,1,0,177.8,85.28,,Orthodox
8667caa0451d245b,Kennedy Nzechukwu,African Savage,14,6,0,195.58,107.05,210.82,Southpaw
f1b2aa7853d1ed6e,Kamaru Usman,The Nigerian Nightmare,21,4,0,182.88,77.11,193.04,Switch
23725c826c481e7f,Paul Daley,Semtex,39,15,2,175.26,77.11,193.04,Orthodox
a6c2f5381d575920,Orlando Wiet,The Gladiator,1,5,0,177.8,77.11,,Southpaw
771b60ff889661c8,Mark Scanlon,,9,2,0,175.26,77.11,,Orthodox
31a13532e724ca2b,Stevie Ray,Braveheart,23,9,0,177.8,70.31,177.8,Southpaw
da6dfd09cca1d705,Wallid Ismail,,9,3,0,170.18,92.99,,Orthodox
d814f5192e58fb2f,Drew Fickett,The Master,42,21,0,177.8,70.31,177.8,Orthodox
7b6e40a73b567072,Shonie Carter,Mr. International,51,31,7,177.8,77.11,,Southpaw
d3b5ad3b15a64a18,Francesco Maturi,,0,1,0,,,,
a6a9ab5a824e8f66,Joel Sutton,,2,4,1,180.34,92.99,,Orthodox
